sample-id	absolute-filepath
ERR1883195	$PWD/data/ERR1883195.fastq.gz
ERR1883207	$PWD/data/ERR1883207.fastq.gz
ERR1883212	$PWD/data/ERR1883212.fastq.gz
ERR1883214	$PWD/data/ERR1883214.fastq.gz
ERR1883225	$PWD/data/ERR1883225.fastq.gz
ERR1883240	$PWD/data/ERR1883240.fastq.gz
ERR1883250	$PWD/data/ERR1883250.fastq.gz
ERR1883294	$PWD/data/ERR1883294.fastq.gz
