# Constructed from biom file
#OTU ID	ERR1883210	ERR1883212	ERR1883214	ERR1883247	ERR1883248	ERR1883260	ERR1883294	ERR1883315
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;__	997.0	757.0	3.0	506.0	121.0	1517.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	111.0	165.0	0.0	222.0	42.0	679.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus	0.0	97.0	664.0	0.0	97.0	0.0	6.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Denitrobacterium	18.0	481.0	0.0	118.0	22.0	196.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium	0.0	30.0	937.0	45.0	54.0	17.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	47.0	303.0	0.0	128.0	69.0	209.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	749.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	9.0	0.0	0.0	0.0	0.0	0.0	0.0	682.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnospira	198.0	165.0	0.0	0.0	223.0	48.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Phytobacter	0.0	0.0	0.0	0.0	0.0	0.0	734.0	0.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera	0.0	0.0	5.0	0.0	0.0	0.0	580.0	13.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0.0	0.0	217.0	16.0	30.0	0.0	591.0	43.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter	171.0	9.0	0.0	206.0	128.0	271.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium	176.0	95.0	0.0	32.0	40.0	152.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Morganella	0.0	0.0	71.0	0.0	7.0	0.0	294.0	144.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus	0.0	0.0	294.0	0.0	30.0	0.0	47.0	73.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnoclostridium	144.0	111.0	0.0	41.0	48.0	455.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Firmicutes;o__Firmicutes;f__Firmicutes;g__Negativibacillus	67.0	146.0	0.0	87.0	0.0	30.0	0.0	0.0
